"id","x","y","z","seq_id"
"136","369662.1695","143345.7771","0","1"
"136","369894.9987","143029.48","0","2"
"136","369912.0267","142720.6647","0","3"
"137","370488.8827","144024.6967","0","0"
"137","370520.7169","143813.499","0","1"
"137","370523.0859","143448.1726","0","2"
"137","370468.2527","143254.6032","0","3"
"137","370459.8092","143038.425","0","4"
"137","370497.8297","142771.7187","0","5"
"138","370508.5017","142760.1017","0","0"
"138","371414.4403","142746.4408","0","1"
"139","370476.3069","142745.123","0","0"
"139","369920.793","142699.0916","0","1"
"140","370501.5382","142738.4325","0","0"
"140","370500.1628","141999.6276","0","1"
"142","370107.8315","142111.5399","0","0"
"142","369703.5292","142021.3909","0","1"
"143","369681.8057","142007.631","0","0"
"143","369531.9448","141913.0407","0","1"
"143","369014.6334","141649.2335","0","2"
"143","368596.746","141394.7454","0","3"
"144","368039.0217","141676.8377","0","0"
"144","368567.9977","141394.1588","0","1"
"146","369679.9736","142030.7743","0","0"
"146","369664.6117","142194.0365","0","1"
"146","369735.8626","142336.2861","0","2"
"146","369885.0505","142419.7832","0","3"
"146","369889.966","142425.9667","0","4"
"147","369912.2673","142689.6461","0","0"
"147","369908.0212","142431.4182","0","1"
"147","369912.9978","142421.5824","0","2"
"148","369886.6922","142696.9342","0","0"
"148","369286.1602","142714.7384","0","1"
"149","368043.118","141700.5421","0","0"
"149","368395.0433","141891.3561","0","1"
"149","368512.0685","141993.7635","0","2"
"149","368716.7047","142071.0371","0","3"
"149","368855.9001","142236.4774","0","4"
"149","369099.6566","142323.67","0","5"
"149","369245.9517","142477.0304","0","6"
"149","369265.6514","142699.3169","0","7"
"150","369264.0901","142726.2355","0","0"
"150","369196.1041","142936.019","0","1"
"150","369036.9537","143051.4932","0","2"
"150","368806.2439","143136.4149","0","3"
"150","368435.1591","143148.5976","0","4"
"150","368097.9815","143031.3567","0","5"
"150","367709.8509","142726.9996","0","6"
"150","367460.9157","142295.6248","0","7"
"151","367246.739","142494.7952","0","0"
"151","367441.2314","142300.1022","0","1"
"152","367462.7553","142281.9973","0","0"
"152","368022.4925","141701.474","0","1"
"153","367444.1486","142268.5926","0","0"
"153","367247.3065","141819.1684","0","1"
"154","367673.8785","141512.6532","0","0"
"154","368008.3513","141683.6468","0","1"
"155","368579.9217","141370.9342","0","0"
"155","368323.9604","140788.2768","0","1"
"156","369121.8379","140196.98","0","0"
"156","369079.8454","140704.8177","0","1"
"156","369072.6224","140739.7231","0","2"
"156","369038.9748","140767.9737","0","3"
"156","369004.836","140773.3834","0","4"
"156","368957.1702","140772.9984","0","5"
"156","368330.6068","140767.9373","0","6"
"156","368330.4371","140767.9342","0","7"
"157","368317.9704","140758.6023","0","0"
"157","368333.7201","140168.1899","0","1"
"158","368297.6362","140774.3198","0","0"
"158","367620.2687","140937.6545","0","1"
"159","366082.7087","140291.2871","0","0"
"159","366624.9862","140807.5069","0","1"
"160","366502.088","141405.9783","0","0"
"160","366507.0183","141235.8228","0","1"
"160","366507.0183","141097.461","0","2"
"160","366643.0716","140833.8855","0","3"
"161","366665.837","140813.0805","0","0"
"161","366727.7863","140778.2747","0","1"
"161","367020.0462","140705.7051","0","2"
"161","367281.0824","140747.5704","0","3"
"161","367509.6096","140855.2728","0","4"
"161","367569.9763","140895.1883","0","5"
"161","367590.4374","140933.2946","0","6"
"162","367249.36","141805.1485","0","0"
"162","367653.537","141513.4874","0","1"
"163","366493.0913","141440.8985","0","0"
"163","366630.7981","141705.0538","0","1"
"163","366814.9772","141834.513","0","2"
"163","367061.4391","141846.9695","0","3"
"163","367220.737","141816.6991","0","4"
"164","366039.7709","141427.0798","0","0"
"164","366475.934","141425.7757","0","1"
"165","365432.9227","139862.3586","0","0"
"165","365357.6434","140236.2808","0","1"
"165","365394.3972","140432.3006","0","2"
"165","365627.1707","140695.7022","0","3"
"165","365896.6979","140983.6063","0","4"
"165","366013.0846","141179.6261","0","5"
"165","366008.8613","141406.1662","0","6"
"166","365436.0642","139835.2329","0","0"
"166","365040.0168","139504.9999","0","1"
"199","372053.0925","147266.6646","0","0"
"199","372508.4255","146889.9154","0","1"
"200","372484.0025","146861.0518","0","0"
"200","372026.7406","147236.8818","0","1"
"201","371194.0222","148035.5778","0","0"
"201","371598.4971","147665.5364","0","1"
"202","371540.6032","147656.8348","0","0"
"202","371171.8194","148004.4939","0","1"
"203","371943.3618","147672.9118","0","0"
"203","371956.7604","147746.6041","0","1"
"203","371952.2942","147822.5295","0","2"
"203","371912.0984","147885.0562","0","3"
"203","371876.3688","147914.0865","0","4"
"203","371811.6089","147940.8837","0","5"
"203","371753.5483","147943.1168","0","6"
"203","371720.0518","147943.1168","0","7"
"203","371670.9236","147923.0189","0","8"
"203","371641.8933","147907.3872","0","9"
"203","371615.0961","147876.1238","0","10"
"203","371601.6975","147842.6273","0","11"
"203","371599.4644","147806.8978","0","12"
"203","371599.4644","147762.2358","0","13"
"203","371605.6066","147710.8745","0","14"
"203","371615.2377","147667.6761","0","15"
"204","372033.8023","147295.5179","0","0"
"204","372111.9608","147283.2359","0","1"
"204","372167.7883","147285.469","0","2"
"204","372230.3151","147294.4014","0","3"
"204","372266.0447","147316.7324","0","4"
"204","372299.5412","147341.2965","0","5"
"204","372333.0377","147412.7556","0","6"
"204","372321.8722","147473.0493","0","7"
"204","372298.4247","147531.1099","0","8"
"204","372251.5296","147567.9561","0","9"
"204","372183.42","147598.1029","0","10"
"204","372111.1228","147614.221","0","11"
"204","372064.504","147618.7556","0","12"
"204","371999.8149","147605.2886","0","13"
"205","371589.8402","147264.6677","0","0"
"205","371567.1599","147199.0722","0","1"
"205","371576.5786","147118.0573","0","2"
"205","371609.5134","147042.0611","0","3"
"205","371669.8071","146988.4667","0","4"
"205","371736.8001","146966.1357","0","5"
"205","371814.9586","146957.2033","0","6"
"205","371881.9515","146954.9702","0","7"
